#obj	RA	DEC		u	g	r	i	redshf	zErr	err_u	err_g	err_r	err_i	
0.0	353.352	-1.14842	19.19	17.24	16.10	15.59	0.098	0.00017	0.10	0.01	0.00	0.00
1.0	16.6382	-0.706977	19.76	18.25	17.66	17.34	0.075	0.00008	0.08	0.01	0.01	0.01	
2.0	357.556	-0.782422	19.61	18.16	17.61	17.25	0.072	0.00017	0.11	0.01	0.01	0.01	
3.0	337.509	-0.29144	18.60	17.80	17.55	17.03	0.081	0.00004	0.11	0.02	0.02	0.02
4.0	38.4123	0.0500504	18.40	17.06	16.83	16.45	0.054	0.00007	0.06	0.01	0.01	0.01
5.0	6.64125	0.498195	19.01	17.49	16.82	16.40	0.071	0.00010	0.07	0.01	0.01	0.01	
6.0	11.7225	0.61522		18.54	17.23	16.66	16.19	0.068	0.00080	0.02	0.00	0.00	0.00
7.0	321.837	0.998545	20.21	17.91	16.97	16.48	0.052	0.00015	0.18	0.01	0.01	0.01
8.0	2.13699	1.0389		21.89	20.08	19.27	18.79	0.060	0.00022	0.07	0.01	0.00	0.00
9.0	18.62	-0.85823	19.76	17.88	17.09	16.62	0.080	0.00015	0.12	0.01	0.01	0.01
#10.0	340.049	-0.429817	
11.0	356.786	-0.610857	
12.0	313.827	-0.145474	
13.0	336.089	-0.172299	
14.0	53.8613	-0.0925365	
#15.0	46.2883	0.346135	
16.0	319.902	0.70423	
17.0	338.416	0.669816	
#18.0	14.0386	0.687016	
19.0	349.967	1.21806	
20.0	353.856	1.06617	
21.0	30.3554	1.09363	
22.0	30.6915	1.24011	
#23.0	29.5574	1.18559	
24.0	54.5509	1.16911	
26.0	316.934	-1.14984	
27.0	317.74	-1.20082	
28.0	320.596	-1.09591	
29.0	324.184	-1.14904	
30.0	328.317	-1.08694	
31.0	330.49	-1.25704	
32.0	336.074	-1.07211	
33.0	347.332	-1.10397	
34.0	337.937	-1.10789	
35.0	338.195	-1.17888	
36.0	353.303	-1.17337	
37.0	353.32	-1.19484	
38.0	338.838	-1.16347	
39.0	339.777	-1.18459	
40.0	3.35783	-1.17483	
41.0	341.535	-1.20503	
42.0	6.06092	-1.08592	
43.0	19.2622	-1.12151	
#44.0	16.6056	-1.23858	
45.0	16.958	-1.18739	
46.0	40.4952	-1.06002	
47.0	312.249	-0.703875	
#48.0	312.586	-0.723564	
49.0	316.931	-0.642667	
50.0	50.4486	-1.08438	
51.0	51.7287	-1.11885	
52.0	331.166	-0.837467	
53.0	14.0523	-0.666076	
54.0	336.184	-0.820546	
55.0	336.781	-0.65694	
56.0	350.964	-0.641847	
57.0	337.905	-0.758439	
#58.0	17.1651	-0.821545	
59.0	354.046	-0.816974	
#60.0	354.769	-0.733285	
61.0	355.446	-0.707614	
62.0	7.55598	-0.707898	
63.0	20.7271	-0.800502	
64.0	23.8733	-0.764472	
65.0	314.808	-0.313011	
66.0	315.171	-0.280311	
67.0	316.395	-0.374682	
68.0	309.514	-0.332556	
69.0	320.929	-0.370337	
70.0	322.938	-0.391917	
71.0	324.101	-0.365372	
72.0	333.355	-0.262991	
73.0	352.156	-0.276934	
74.0	334.671	-0.39321	
75.0	355.131	-0.377401	
#76.0	8.50521	-0.313291	
77.0	338.055	-0.401363	
78.0	348.004	-0.230714	
79.0	11.2734	-0.337219	
80.0	25.2713	-0.241919	
81.0	14.439	-0.411983	
#82.0	37.6832	-0.324084	
83.0	15.2259	-0.225206	
84.0	15.886	-0.293435	
85.0	16.4267	-0.232024	
86.0	16.695	-0.383953	
87.0	41.3516	-0.386584	
88.0	41.5263	-0.295171	
89.0	17.1426	-0.244098	
90.0	46.3711	-0.262966	
91.0	19.38	-0.388456	
92.0	32.7409	-0.390121	
93.0	32.7744	-0.292481	
94.0	23.2352	-0.380443	
95.0	57.4459	-0.29811	
96.0	334.133	0.0826102	
97.0	310.952	0.202129	
98.0	349.572	0.0388992	
99.0	334.62	0.15942	
100.0	337.347	0.0514525	
101.0	355.29	0.0888867	
102.0	313.948	0.0139961	
103.0	314.231	0.0856284	
104.0	315.207	0.125505	
105.0	357.875	0.0676954	
106.0	327.669	0.0064783	
107.0	341.067	0.00533573	
108.0	0.552369	0.00474427	
109.0	3.13385	0.12711	
110.0	4.6284	0.123573	
111.0	333.012	0.053947	
112.0	33.4332	0.113314	
113.0	13.53	0.0552525	
114.0	14.2507	0.164131	
115.0	9.72518	0.16045	
116.0	27.0976	0.0138134	
117.0	16.0166	0.0104919	
118.0	17.4639	0.0462196	
119.0	17.5572	0.0436702	
120.0	39.0485	0.0481464	
121.0	46.3396	0.169836	
122.0	19.5959	0.118883	
123.0	19.8063	0.0214399	
124.0	20.2093	0.0309869	
125.0	20.6646	0.0454433	
126.0	323.64	0.536252	
127.0	340.923	0.605436	
128.0	330.195	0.467537	
129.0	343.344	0.435676	
